filename,artist,title,songLength,upload_status,upload_time,box_file_id,lrc_box_file_id
Brother Cane - And Fools Shine On.m4a,Brother Cane,And Fools Shine On,282.0,uploaded,2024-11-12 10:21:43,1698297215008,1698298533466
Brother Cane - Got No Shame.m4a,Brother Cane,Got No Shame,274.6,uploaded,2024-11-12 10:21:52,1698312322839,1698326853104
Brother Cane - Hard Act to Follow.m4a,Brother Cane,Hard Act to Follow,275.09000000000003,uploaded,2024-11-12 10:22:01,1698337537519,pending
Brother Cane - I Lie In the Bed I Make.m4a,Brother Cane,I Lie In the Bed I Make,266.6,uploaded,2024-11-12 10:22:07,1698317679954,pending
Brother Cane - That Don't Satisfy Me.m4a,Brother Cane,That Don't Satisfy Me,282.27,uploaded,2024-11-12 10:22:14,1698336484496,pending
Bruce Hornsby & The Range - Across the River.m4a,Bruce Hornsby & The Range,Across the River,310.68,uploaded,2024-11-12 10:22:25,1698304024230,1698301674450
"Bruce Springsteen - 57 Channels (And Nothin' On) [Live at the Shrine, Los Angeles, CA - 11161990 - (Set 1)].m4a",Bruce Springsteen,"57 Channels (And Nothin' On) [Live at the Shrine, Los Angeles, CA - 11/16/1990 - (Set 1)]",191.9,uploaded,2024-11-12 10:22:32,1698294992752,pending
Bruce Springsteen - Better Days (Single Edit).m4a,Bruce Springsteen,Better Days (Single Edit),224.89,uploaded,2024-11-12 10:22:40,1698295695958,1698325686781
Bruce Springsteen - Human Touch.m4a,Bruce Springsteen,Human Touch,391.55,uploaded,2024-11-12 10:23:02,1698300659027,1698336875661
Buckcherry - For the Movies.m4a,Buckcherry,For the Movies,274.63,uploaded,2024-11-12 10:23:10,1698297903927,1698298528242
Buckcherry - Lit Up.m4a,Buckcherry,Lit Up,215.56,uploaded,2024-11-12 10:23:18,1698297647761,1698341161203
Bush - Cold Contagious (Remastered).m4a,Bush,Cold Contagious (Remastered),360.07,uploaded,2024-11-12 10:23:39,1698336270202,1698326636523
Bush - Everything Zen (Remastered).m4a,Bush,Everything Zen (Remastered),278.13,uploaded,2024-11-12 10:23:57,1698297236991,1698326219581
Bush - Glycerine (Remastered).m4a,Bush,Glycerine (Remastered),266.49,uploaded,2024-11-12 10:24:12,1698298768516,1698296900862
Bush - Glycerine.m4a,Bush,Glycerine,265.77,uploaded,2024-11-12 10:24:21,1698326397181,1698324303681
